component,component,std.error,z.ratio,bound,%ch
trait:dam!trait_TN:TN,629.512932146632,98.3532509919244,6.40052998551436,?,0
trait:dam!trait_TV:TN,4.94502869368496,8.75833887645125,0.564608056783549,?,0
trait:dam!trait_TV:TV,11.5414604323047,1.55725294907886,7.41142306979204,?,0
trait:dam!trait_TY:TN,67.1951852455491,12.3090106223591,5.45902406839186,?,0
trait:dam!trait_TY:TV,7.2668058056091,1.41443866508515,5.13758990402855,?,0
trait:dam!trait_TY:TY,11.1342081990728,1.87656830599623,5.93328159891407,?,0
trait:dam:loccode!trait_TN:TN,194.470440190953,43.1868284756442,4.50300350952207,P,0
trait:dam:loccode!trait_TV:TN,7.07940463583159,3.04051033362275,2.32836065628381,U,0
trait:dam:loccode!trait_TV:TV,2.13093095180117,0.411787205471562,5.17483526318141,P,0
trait:dam:loccode!trait_TY:TN,29.8093082180164,6.1705779521312,4.83087782850564,U,0
trait:dam:loccode!trait_TY:TV,2.69872771054609,0.541187036621453,4.98668210420159,U,0
trait:dam:loccode!trait_TY:TY,6.25331327563848,1.02806694244822,6.08259347464957,P,0
hybrid:trait!trait_TN:TN,236.54438395337,57.6372593391915,4.10401859257954,P,0
hybrid:trait!trait_TV:TN,1.09067401153908,4.32958528206868,0.251911890050115,U,0
hybrid:trait!trait_TV:TV,4.68046488697189,0.660322082037103,7.08815442387234,P,0
hybrid:trait!trait_TY:TN,23.2614633287476,6.49946094068714,3.57898347894192,U,0
hybrid:trait!trait_TY:TV,3.1165558533565,0.616095057311141,5.05856331157445,U,0
hybrid:trait!trait_TY:TY,4.34270345940862,0.907332184488176,4.78623323811481,P,0
hybrid:loccode:trait!trait_TN:TN,210.197448916216,61.6010559745192,3.41223775454697,P,0
hybrid:loccode:trait!trait_TV:TN,-1.69843474638366,3.78742694997541,-0.448440265334936,U,0
hybrid:loccode:trait!trait_TV:TV,1.53294636601051,0.463214496208252,3.30936613287967,P,0
hybrid:loccode:trait!trait_TY:TN,21.8160378641182,6.84247444251004,3.18832580923976,U,0
hybrid:loccode:trait!trait_TY:TV,0.703063574338028,0.499002111751694,1.40893907616943,U,0
hybrid:loccode:trait!trait_TY:TY,3.54633173693273,0.910033809932909,3.89692305739078,P,0
units:trait!R,1,,,F,0
units:trait!trait_TN:TN,929.463289243511,44.0582885761648,21.0962186521776,P,0
units:trait!trait_TV:TN,-2.35788493777785,2.65678339357219,-0.887496114091387,U,0
units:trait!trait_TV:TV,6.67098314423865,0.319288123130867,20.8933018830281,P,0
units:trait!trait_TY:TN,86.7413268449199,4.59602268685929,18.8731285189097,U,0
units:trait!trait_TY:TV,3.89527182779386,0.329925522802798,11.806518618816,U,0
units:trait!trait_TY:TY,12.0137663022475,0.572527932833702,20.98372081653,P,0
